source_dataset,source_row_ids,merged_duplicate_count,product_name,normalized_name,package_size,portion_type,portion_basis,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,saturated_fat_g,trans_fat_g,fibre_g,sodium_g,salt_g,calcium_mg,sub_type,form,category,flavour,additives,data_quality_flags
all_categories_combined,771|836,2,224 PILAU RICE 2KG,224 PILAU RICE,Pack size : 2kg,Average Nutritional Value As Per 100g,PER_100G,171,715.464,3,30,1,3,,,2,0,0,,Rice,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,872|925|935,3,224 PISHORI RICE 2KG,224 PISHORI RICE,Pack size : 2kg,Average Nutritional Value As Per 100g,PER_100G,349,1460.22,8,77,0,0,,,0,0,0,,Rice,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,4648,1,Acacia Kids Blackcurrant Pouch 200Ml,ACACIA KIDS BLACKCURRANT POUCH,,Nutrition information for 100ml of drink,PER_100ML,53.1,225,0.02,12.9,12.8,0.01,,,0.08,0.01,0.025,,,,,,,sodium_derived_from_salt
all_categories_combined,4635,1,Acacia Kids Bluerasberry Pouch200Ml,ACACIA KIDS BLUERASBERRY POUCH200ML,,Nutrition information for 100ml of drink,PER_100ML,53.5,227,0.04,13.1,12.9,0.01,,,0.07,0.0108,0.027,,,,,,,sodium_derived_from_salt
all_categories_combined,4636,1,Acacia Kids Mango Pouch 200Ml,ACACIA KIDS MANGO POUCH,,Nutrition information for 100ml of drink,PER_100ML,42.1,179.12,0.168,12.5,12.5,0.01,,,0.54,0.0076,0.019,,,,,,,sodium_derived_from_salt
all_categories_combined,3460,1,Afia Apple Drink 1.5L,AFIA APPLE DRINK,Pack size : 1.5L,Average Nutritional Value As Per 200ml,PER_200ML_SCALED,47,196.648,,11.45,11,,,,,0.009,0.0225,,Apple Drink,Liquid,Beverage,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,3442,1,Afia Apple Juice Tetra 1L,AFIA APPLE JUICE TETRA,Pack size : 1L,Average Nutritional Value As Per 100ml,PER_100ML,285,1192.44,4,71,0,4,,,0,0,0,,Drink,Liquid,Food,Apple,,salt_derived_from_sodium
all_categories_combined,4649,1,Afia Apple Pet 200Ml,AFIA APPLE PET,Pack size : 200ml,Average Nutritional Value As Per 100ml,PER_100ML,285,1192.44,4,71,0,4,,,0,0,0,,Drink,Liquid,Food,Apple,,salt_derived_from_sodium
all_categories_combined,3463,1,Afia Mixedfruit Juice Pet 1L,AFIA MIXEDFRUIT JUICE PET,Pack size : 1L,Average Nutritional Value As Per 100ml,PER_100ML,47,180,0.01,11.7,11.7,,,,,,,,,,,,,missing_sodium|missing_total_fat
all_categories_combined,3456|3516,2,Afia Multi Vitamin Fruit Drink 1.5L,AFIA MULTI VITAMIN FRUIT DRINK,Pack size : 1.5L,Average Nutritional Value As Per 100ml,PER_100ML,50,209,,12.4,9.7,,,,,0.008,0.02,,Fruit Drink,Liquid,Beverage,,,missing_total_fat|salt_derived_from_sodium
all_categories_combined,3475|3495,2,Afia Orange Fruit Drink 250Ml,AFIA ORANGE FRUIT DRINK,Pack size : 250ml,Average Nutritional Value As Per 100ml,PER_100ML,45,188.28,0.7,10,8.4,0.2,,,,0.001,0.0025,,Fruit Drink,Liquid,Beverage,,,salt_derived_from_sodium
all_categories_combined,3499,1,Afia Pink Guava Juice Tetra 1L,AFIA PINK GUAVA JUICE TETRA,Pack size : 1L,Average Nutritional Value As Per 100ml,PER_100ML,26,107,0.4,6,5,0,,,1.2,0.00048,0.0012,,Drink,Liquid,Food,Guava,,salt_derived_from_sodium
all_categories_combined,3534|3569,2,Afia Tropical Carrot Fruit Drink 300Ml,AFIA TROPICAL CARROT FRUIT DRINK,Pack size : 300ml,Average Nutritional Value As Per 100ml,PER_100ML,69,288.696,0.5,17.2,12.5,,,,,,,,Fruit Drink,Liquid,Beverage,,,missing_sodium|missing_total_fat
all_categories_combined,3370,1,Airheads Cherry Candy Bar 15.6g,AIRHEADS CHERRY CANDY BAR,Pack size : 15.6g,Average Nutritional Value As Per 15.6g,PER_15.6G_SCALED,384.615,1608.97,0,96.1538,70.5128,0,,,,,,,Candy Bar,Solid,Food,Cherry,,missing_sodium
all_categories_combined,3371,1,Airheads Orange Candy Bar 15.6g,AIRHEADS ORANGE CANDY BAR,Pack size : 15.6g,Average Nutritional Value As Per 31.2g,PER_31.2G_SCALED,416.667,1740.38,0,96.1538,67.3077,3.20513,,,,0.0160256,0.0400641,,Candy Bar,Solid,Food,Orange,,salt_derived_from_sodium
