category_number,category_name,total_fat_g_per_100g_ml,saturated_fat_g_per_100g_ml,total_sugar_g_per_100g_ml,sodium_g_per_100g_ml
1.1,Chocolates,7.0,2.3,5.3,0.21
1.2,Sugar confectioneries,null,null,5.3,0.21
1.3,Energy bars,7.0,2.3,5.3,0.21
2.1,Fine bakery products,8.3,2.8,6.3,0.25
2.2,Breads and ordinary bakery products,8.3,2.8,6.3,0.25
3.1,Breakfast cereals,11.0,3.7,8.3,0.33
3.2,Instant pasta noodles and similar products,null,null,null,0.32
4.1,Ready to eat savoury snacks,7.0,2.3,0.0,0.21
4.2,Processed nuts and edible seeds,null,null,0.0,0.21
5.1,Fruit and vegetable drinks,null,null,5.3,0.21
5.2,Water based flavoured drinks,null,null,5.3,0.02
5.3,Coffee tea cocoa premixes ready to drink,null,null,5.3,0.05
5.4,Cereal or nut based beverages ready to drink,null,null,5.3,0.05
6.0,Composite foods,11.6,3.9,8.8,0.35
7.1,Butter,null,null,0.0,0.21
7.2,Margarine fat spreads oil emulsions,null,35.0,0.0,0.21
8.1,Processed meat and poultry products,9.5,3.2,0.0,0.30
8.2,Processed fish and seafood products,8.1,2.7,0.24,null
9.1,Processed fruits vegetables and legumes,5.0,1.7,6.0,0.40
9.2,Solid form soybean products,8.0,null,null,0.13
10,Sauces dips seasonings soups dressings,8.8,2.9,7.0,0.35
11.1,Milk and dairy based drinks,4.0,1.3,7.2,0.05
11.2,Frozen dairy based desserts,4.0,1.3,7.2,0.10
11.3,Other dairy based desserts,4.0,1.3,7.2,0.21
11.4,Cheese and analogues,22.0,7.3,null,0.50
