description,class_name,subclass_name,nova
4US FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
4US TFA FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
AFIA ENERGY DRINK APPLE,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
AFIA ENERGY DRINK CLASSIC,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
AFIA ENERGY DRINK S/BERRY,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
AFIA JUICE APPLE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE GUAVA,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE MANGO,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE MIXED FRUIT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE MULT-VITAMIN,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE MULTI VITAMIN,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE NECTAR ORANGE & CARROT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE ORANGE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA JUICE TROPICAL CARROT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA LEMON,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA MANGO,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA PEACH W/MILK,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AFIA S/BERRY ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
AJAB ATTA MARK,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
AJAB HOME BAKING,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
AJAB MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
AJAB MANDAZI FLOUR,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
AJAB SELF RAISING,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
AKIYDA CROWN GOLDEN TOAST,BREADS,WHITE BREAD,Ultra-processed foods
AKIYDA WHITE BARREL,BREADS,WHITE BREAD,Ultra-processed foods
AKIYDA WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
AMAIZE PREM MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
AMERICAN G A/CIDER VINEGAR 16OZ,TABLE SAUCES,VINEGAR,Ultra-processed foods
AQUAMIST FLAV WATER APPLE,WATER,FLAVOURED WATER,Unprocessed/Minimally processed foods
AQUAMIST FLAV WATER MANGO,WATER,FLAVOURED WATER,Unprocessed/Minimally processed foods
AQUAMIST FLAV WATER PEACH,WATER,FLAVOURED WATER,Unprocessed/Minimally processed foods
AQUAMIST MINERAL WATER,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
AQUAMIST SPARKLING MINERAL,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
ASSORTED FAMILY KENCHIC,POULTRY,CHICKEN,Unprocessed/Minimally processed foods
ATTA MARK BUTTERFLY,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
AVENA VEG OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
AZAM EMBE FRUIT JUICE DRINK,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
AZAM ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
AZAM UKWAJU JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
B/SIDE D/FRESH,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
B/SIDE D/FRESH VANILLA,MILK DRINKS,FLAVOURED MILK,Ultra-processed foods
B/SIDE DAIRY BEST (FINO),WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
B/SIDE FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
B/SIDE FRESH MILK TCA,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
B/SIDE NATURAL LALA,NATURAL/PLAIN FERMENTED MILK,NATURAL/PLAIN FERMENTED MILK,Unprocessed/Minimally processed foods
B/SIDE SWEET LALA,FLAVOURED FERMENTED MILK,FLAVOURED FERMENTED MILK,Ultra-processed foods
B/SIDE YOGHURT NATURAL,NATURAL/PLAIN YOGHURT,NATURAL/PLAIN YOGHURT,Unprocessed/Minimally processed foods
B/SIDE YOGHURT S/BERRY,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
B/SIDE YOGHURT VANILLA,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
BAHARI FRY,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
BAKEMATE MARIE TOP BISCUITS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BAKING POWDER CHAPA MANDAZI,BAKING ADDITIVES,BAKING POWDER,Ultra-processed foods
BARAKA CHAI,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
BARAKA CHAI RTB UNTAGGED CATERING,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
