product_name,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,fibre_g,sodium_g,sub_type,form
224 AROMATIC RICE,,,,,,,,,,
224 PILAU RICE,171,715.464,3,30,1,3,2,0,Rice,Solid
224 PISHORI RICE,349,1460.22,8,77,0,0,0,0,Rice,Solid
224 SUPERIOR QUALITY LONG GRAIN RICE,366.667,1533.33,8.88889,80,,,,,Rice,Solid
7UP DRINK,,,,,,,,,,
7UP SODA,,,,,,,,,,
ACACIA KIDS APPLE,,,,,,,,,,
ACACIA KIDS BLACKCURRANT,53.1,225,0.02,12.9,12.8,0.01,0.08,,,
ACACIA KIDS BLUERASBERRY,53.5,227,0.04,13.1,12.9,0.01,0.07,,,
ACACIA KIDS MANGO,42.1,179.12,0.168,12.5,12.5,0.01,0.54,,,
AERO ORANGE FESTIVE BLOCK,,,,,,,,,,
AERO PEPPERMINT BUBBLY,,,,,,,,,,
AFIA APPLE DRINK,285,1192.44,4,71,0,4,0,0,Drink,Liquid
AFIA APPLE JUICE,285,1192.44,4,71,0,4,0,0,Drink,Liquid
AFIA MIXEDFRUIT JUICE,47,180,0.01,11.7,11.7,,,,,
AFIA MULTI VITAMIN FRUIT DRINK,50,209,,12.4,9.7,,,0.008,Fruit Drink,Liquid
AFIA ORANGE FRUIT DRINK,45,188.28,0.7,10,8.4,0.2,,0.001,Fruit Drink,Liquid
AFIA PINK GUAVA JUICE,26,107,0.4,6,5,0,1.2,0.00048,Drink,Liquid
AFIA TROPICAL CARROT FRUIT DRINK,69,288.696,0.5,17.2,12.5,,,,Fruit Drink,Liquid
AFTER EIGHT MINT CHOCOLATE,,,,,,,,,,
AFTER EIGHT SHAPES CHOCOLATE,,,,,,,,,,
AG TABASCO STYLE HOT SAUCE,,,,,,,,,,
AIRHEADS CHERRY CANDY BAR,384.615,1608.97,0,96.1538,70.5128,0,,,Candy Bar,Solid
AIRHEADS ORANGE CANDY BAR,416.667,1740.38,0,96.1538,67.3077,3.20513,,0.0160256,Candy Bar,Solid
AIRHEADS WHITE MYSTERY CANDY BAR,384.615,1608.97,0,96.1538,70.5128,0,,,Candy Bar,Solid
AIRWAVES BLACKCURRANT S/F 10P,,,,,,,,,,
AIRWAVES GUM MENTHOL&EUCALYPTUS,,,,,,,,,,
AJAB ALL PURPOSE FLOUR,364,1522.4,10.4,76,0.24,0.96,2.72,0.002,All Purpose Flour,Powder
AJAB FORTIFIED ALL PURPOSE HOME BAKING FLOUR,252,1054.36,8.4,51,1.9,1.6,,,Baking Flour,Powder
AJAB FORTIFIED ATTA MARK 1 FLOUR,364,1522.4,10.4,76,0.24,0.96,2.72,0.002,Flour,Powder
AJAB FORTIFIED MANDAZI FLOUR,300,1250,10,50,,10,,0.32,Mandazi Flour,Powder
AJAB FORTIFIED SELF RAISING FLOUR,400,1670,10,80,,,,,Raising Flour,Powder
AJAB MAIZE MEAL FLOUR,351,1491,7.8,77.7,0.5,0.8,1,,Maize Meal Flour,Powder
AL AMEERA TAHINA,,,,,,,,,,
AL JAZIRA EXTRA VIRGIN OLIVE OIL,900,3700,,,,100,,,Olive Oil,Liquid
ALL TIME HONEY,,,,,,,,,,
ALL TIME HONEY BLACK SEED OIL SQUEEZE,,,,,,,,,,
ALL TIME HONEY HEXA SQUEEZE,,,,,,,,,,
ALL TIME HONEY IN BLK SEED OIL,,,,,,,,,,
ALL TIME HONEY JERRYCAN,,,,,,,,,,
ALL TIME HONEY SQUEEZE,,,,,,,,,,
ALLEGRO EXTRA VIRGIN OLIVE OIL,900,3765.6,,,,100,,,Olive Oil,Liquid
ALPENLIEBE CARAMEL CANDY,,,,,,,,,,
ALPENLIEBE CHOCOLATE CARAMEL ECLAIRS CANDY,3.9,407.7,0.05,1705.82,84.4,66.5,,,,
ALPENLIEBE GOLD CREAM STRAWBERRY CANDY,417,1744,0.2,88,71,6.8,,0.22,Candy,Solid
ALVARO MALT DRINK,126,527.184,3.2,14.3,9.3,6.3,,,Malt Drink,Liquid
AMAIZE MAIZE MEAL FLOUR,92,388,2.2,21.5,,21.5,0.8,,Maize Meal Flour,Solid
AMANA BASMATI RICE,365,1527,7.1,80,,0.7,1.8,0.00054,Rice,Solid
AMANA HEALTHY GOODNESS LONG GRAIN BASMATI RICE,349,1485,8.7,77.8,,0.7,0.8,,Basmati Rice,Solid
AMANA NJAHI BLACK BEANS,,,,,,,,,,
AMANA NYAYO BEANS,347,1451.85,23,62,,,16,0.015,Nyayo Beans,Solid
AMANA PISHORI RICE,349,1460.22,8,77,,,,,Pishori Rice,Solid
AMANA PREMIUM BASMATI RICE,350,1464,8.8,78,,,1.6,0.0017,Rice,Solid
AMANA PREMIUM PISHORI RICE,351,1491,7.8,77.7,0.5,0.8,1,,Pishori Rice,Solid
AMANA ROSECOCO BEANS,260,1120,21,46,3.5,2.7,12.5,,Rosecoco Beans,Solid
AMANA YELLOW BEANS,347,1451.85,23,62,,,16,0.015,Yellow Beans,Solid
AMAZON TOMATO KETCHUP,110,460,1.1,26.3,15.9,0.1,0.24,0.412,Ketchup,Liquid
AMERICAN G CREA RANCH DRESSING,466.667,1952.33,0,6.66667,3.33333,50,0,0.733333,Ranch Dressing and Dip,Paste
AMERICAN G KETCHUP HOT & SPICY,117.647,491.765,0,29.4118,23.5294,0,0,0.882353,Ketchup,Paste
AMERICAN GARDEN APPLE CIDER VINEGAR,70,292.88,,0.3,0.1,,,,Vinegar,Liquid
AMERICAN GARDEN ITALIAN MARINADE AND SALAD DRESSING,80,334.72,,3,3,8,,0.53,Salad Dressing,Paste
AMERICAN GARDEN LITE MAYONNAISE,150,628,,,,,,0.045,Mayonnaise,Paste
AMERICAN GARDEN MAYONNAISE,309,1292,0.93,8.98,4.91,29.9,0.23,1.7,Mayonnaise,Paste
AMERICAN GARDEN MAYONNAISE LITE,45,188.28,,1,1,,,0.105,Mayonnaise,Paste
AMERICAN GARDEN MUSHROOM PASTA SAUCE,47.2441,197.638,1.5748,8.66142,5.51181,0.787402,2.3622,0.346457,Sauce,Paste
AMERICAN GARDEN POPCORN BUTTER,484.848,2027.27,,57.5758,,24.2424,,0.969697,Popcorn,Solid
AMERICAN GARDEN REGULAR MAYONNAISE,,,,,,,,,Mayonnaise,Cream
AMERICAN GARDEN SPICY BROWN MUSTARD,5,20.92,4,,,,,0.065,Mustard,Paste
AMERICAN GARDEN TOMATO KETCHUP,88,368.192,0,23,2,0,0,0,Ketchup,Paste
AMERICAN GARDEN WHITE VINEGAR,,,,,,,,,White Vinegar,Liquid
AMERICAN GARDEN WORCESTERSHIRE SAUCE,,,,,,,,,Worcestershire Sauce,Paste
AMERICAN GARDEN YELLOW MUSTARD SQUEEZE,0,0,0,0,0,0,0,1.2,Mustard,Paste
AMERICAN GOURMET BARBEQUE SAUCE,50,209.2,,13,11,,,0.34,Sauce,Paste
AMERICAN GOURMET DIJON MUSTARD,149,623.416,7.2,3.2,2.7,11.5,,,Mustard,Paste
AMERICAN GOURMET ITALIAN DRESS,283,1184.07,0,10,8,28,,1.642,Italian Dressing,Paste
AMERICAN GOURMET MAYO,,,,,,,,,Mayonnaise,Paste
AMERICAN GOURMET PANCAKE SYRUP,,,,,,,,,Pancake Syrup,Liquid
AMERICAN GOURMET REGULAR MAYONNAISE,174,728,0.2,0,1.7,15.3,0.1,0.745,Mayonnaise,Paste
AMERICAN GOURMET THOUSAN ISLAND,,,,,,,,,Salad Dressing,Paste
AMIGOS CHEESE AND ONION POTATO CHIPS,533,2230.07,6,53,2,32,,1200,Potato Chips,Solid
AMIGOS CHEESEONION CRISPS,,,,,,,,,Corn Chips,Solid
AMIGOS CHILLI TWISTS PELLETS POTATO,149,623.416,2.3,18,1.3,7.7,1,0.184,Pellets Potato,Solid
AMIGOS DESIGN CHILLI PELLETS CHIPS,342,1430,10,75,,0.2,,,Chips,Solid
AMIGOS DESIGN SALTED PELLETS,1333.33,5578.67,0,266.667,0,0,0,0.166667,Potato Pellets,Solid
AMIGOS DESIGN SALTED PELLETS CHIPS,554,2317,7,51.7,2.6,35.5,,0.51,Chips,Solid
AMIGOS FRIED CASHEW NUTS,621,2566,17,30,4.9,48,3.2,0.26,Fried Cashew Nuts,Solid
AMIGOS FRIED PEANUTS,,,,,,,,,,
AMIGOS GATHIA NUTS,519.7,2174.42,18.2,47.8,1.5,28.5,,,Gathia,Solid
AMIGOS INDIAN NUTS CHEVDA,512,5142,8,55.5,15,28.62,1.3,0.78,Chevda,Solid
AMIGOS MASALA PEANUTS,,,,,,,,,,
AMIGOS MATOKE CRISPS,,,,,,,,,Matoke Crisps,Solid
AMIGOS NDUMA CHIPS,470,1966.48,7,60,4,20,,0.001,Chips,Solid
AMIGOS NUTS CHEVDA,512,5142,8,55.5,15,28.62,1.3,0.78,Chevda,Solid
AMIGOS PEANUT CHIKKI NUTS,,,,,,,,,,
AMIGOS PREMIUM SUVADANA MOUTH FRESHENER,389,1627.58,2.2,84,62,5,8.06,0.0694,Mouth Freshener,Solid
AMIGOS READY SALTED POTATO CHIPS,536.111,2243.09,5.55556,47.2222,,36.1111,,0.763889,Potato Chips,Solid
AMIGOS RESDY SALTED POTATO CHIPS,536.111,2243.09,5.55556,47.2222,,36.1111,,0.763889,Potato Chips,Solid
AMIGOS ROASTED CASHEWNUTS,157,657,5.2,8.6,,12,0.9,0.0034,Cashewnuts,Solid
AMIGOS ROASTED PEANUTS,,,,,,,,,,
AMIGOS SALT AND VINEGAR POTATO CHIPS,490,2050.16,3.33333,56.6667,,23.3333,,,Potato Chips,Solid
AMIGOS SALTED MATOKE CHIPS,519,2171.5,2,58,35,32,,0.006,Chips,Solid
AMIGOS SIMSIM NUTS CHIKKI,110,509,8,2129.6,66.23,23.5,,,Chikki,Solid
AMIGOS SUVADANA MOUTH FRESHENER,389,1627.58,2.2,84,62,5,8.06,0.0694,Mouth Freshener,Solid
ANDREA MILANO BALSAMIC VINEGAR,,,,,,,,,,
ANDREA MILANO RED WINE VINEGAR,,,,,,,,,,
ANDREA MILANO WHITE WINE VINEGAR,,,,,,,,,,
ANGEL INSTANT DRY YEAST,,,,,,,,,,
ANGEL INSTANT DRY YEAST 2 IN,,,,,,,,,,
ANGEL INSTANT DRY YEAST10GX25,,,,,,,,,,
AQUACLEAR PURIFIED DRINKING WATER,0,0,,,,,,0.025,Drinking Water,Liquid
AQUAMIST APPLE FLAVOURED WATER,1.4,75.312,,4,,,,14.62,Mineral Water,Liquid
AQUAMIST LEMON FLAVOURED WATER,1.4,669.44,,9,,,,14.62,Mineral Water,Liquid
AQUAMIST MANGO FLAVOURED WATER,1.4,150.624,,,,,,14.62,Mineral Water,Liquid
AQUAMIST MINERAL WATER,0,0,,,,,,14.62,Mineral Water,Liquid
AQUAMIST MINERAL WATER DISPOSABLE,,,,,,,,,Mineral Water,Liquid
AQUAMIST ORANGE FRUTZ DRINK,,,,,,,,,Fruit Drink,Liquid
AQUAMIST PINEAPPLE FLAVOURED WATER,1.4,4.184,,,,,,14.62,Mineral Water,Liquid
AQUAMIST PINEAPPLE FRUTZ DRINK,48,272,0.1,12,15,0.1,0.5,10.2,Mango Juice,Liquid
AQUAMIST SPARKLING WATER,0,0,,,,,,14.62,Sparkling Water,Liquid
ARBORIO RICE,,,,,,,,,,
ARGUS GREEN GRAMS,,,,,,,,,,
ARGUS GREEN GRAMS 25OGMS,,,,,,,,,,
ARGUS POPCORN IMPORTED,,,,,,,,,,
ARIZONA MUCHO MANGO F JUIC CCT 500M,,,,,,,,,,
ARPO BLENDED SESAME OIL,,,,,,,,,,
ARPO FISH SAUCE,,,,,,,,,,
ARPO SUPERIOR DARK SOYSAUCE,,,,,,,,,,
ARPO SUPERIOR LIGHT SOY SAUCE,,,,,,,,,,
ARPO SUPERIORLIGHT SOYSAUCE,,,,,,,,,,
ARPO SWEET CHILLI SAUCE,,,,,,,,,,
ARPO WHITE RICE VINEGAR,,,,,,,,,,
ARYUVA DOUBLE CONCENTRATED TOMATO PASTE,18.5,10.9,106,100,1.18,0.25,,,Food,
ARYUVA PREMIUM DARK SOY SAUCE,36,150.62,7,26,22,0,0,7.8,Soy Sauce,Liquid
ARYUVA PREMIUM LIGHT SOY SAUCE,54,225.93,1,11,9,0,0,6.026,Sauce,Paste
ARYUVA TOMATO PASTE,,,,,,,,,,
ASANTA GREEN GRAM POLISHED,,,,,,,,,,
ASANTA GREEN LENTILS,116,485.34,20,50,0,0.4,8,0.002,Green Lentils,Solid
ASANTA POPCORN SEEDS,382,1598.29,12,78,0,4,15,0.004,Popcorn Seeds,Solid
ASANTA RICE BLENDED,,,,,,,,,,
ASANTA RICE LONG GRAIN,,,,,,,,,,
ASANTA YELLOW BEANS,340,1422.56,14,68,0,2,16,0.04,Yellow Beans,Solid
ASKEYS TREAT STRAWBERRY,316,1343,0,79,75,0,,,,
ASKEYS TREAT TOFFEE,331,1404,1.4,77,73,2,,,,
ATKINS & POTTS DILL MUSTARD SAUCE,485,2000,1.8,11.9,11.5,47.2,0.9,,,
ATKINS & POTTS RANCH DRESSING,,,,,,,,,,
ATKINS & POTTS RED ONION & JALAPENO RELISH,211,893,1.2,45.2,43.1,2.2,1.4,,,
ATKINS & POTTS SEA FOOD SAUCE LEMON & DILL,650,2675,2.1,4.1,3.6,69,,,,
ATKINS & POTTS TARTARE SAUCE,492,2024,2.4,3.6,2.7,52,1,,,
ATKINS & POTTS TOASTED GARLIC MAYONNAISE,678,2793,2.7,6.2,2.1,71.1,0.8,,,
ATKINS & POTTS WASABI & LIME DRESING,458,1892,1.5,11.2,8.8,45,1,,,
ATKINS & POTTS WASABI MAYONNAISE,598,2464,2.9,5.1,2.8,62.7,1,,,
ATKINS& POTTS SALSA DIP,53,239,1.6,9.2,7.2,1.1,1.5,,,
AVENA VEGETABLE OIL,878,3673.55,,1.72,,97.54,,,Vegetable Oil,Liquid
AYAM THAI YELLOW CURRY SAUCE,,,,,,,,,,
AZAAVI MATOKE CHILI CRISPS,,,,,,,,,,
AZAM APPLE PUNCH SPARKLING DRINK,110,460.24,14,2,,5,,0.447,Sparkling Drink,Liquid
AZAM CARBONATED ENERGY DRINK,49,205,0.5,11,11,0.1,,,Energy Drink,Liquid
AZAM MALTI COFFEE MOCHA DARK MALT DRINK,,,,,,,,,Malt Drink,Liquid
AZAM MALTI DRINK COFFEE,18,84,0,4,0,0,0,0.005,Malti Drink,Liquid
AZAM UKWAJU TAMARIND FRUIT JUICE DRINK,56,234.304,,14,13,,,0.02,Juice Drink,Liquid
BAHARI FRY VEGETABLE OIL,884,3569,,,,100,,,Vegetable Oil,Liquid
BAILI BREAD CRUMBS,385,1614,12,72.9,4.6,4.6,,0.472,Bread Crumbs,Solid
BAKALLAND BA COCOA AND MILK KID CEREAL BAR,1100,4606.22,13.2432,197.297,16.7568,21.6216,13.7838,,Cereal Bar,Solid
BAKE KING PREMIUM LIGHT JAGGERY,383,1602.47,0.4,97,,0.1,0.6,,Jaggery,Solid
BAKE ROLZ CHILI LEMON SNACK,,,,,,,,,,
BAKE ROLZ KETCHUP SNACK,,,,,,,,,,
BAKE ROLZ MIX CHEESE SNACK,,,,,,,,,,
BAKE ROLZ OLIVE SNACK,,,,,,,,,,
BAKE ROLZ PIZZA SNACK,,,,,,,,,,
BAKE ROLZ SALT VINEGAR SNACK,,,,,,,,,,
BAKE ROLZ SPICY CHEESE SNACK,,,,,,,,,,
BAKE ROLZ SPICY KEBAB SNACK,,,,,,,,,,
BAKE ROLZ SWEET CHILI SNACK,,,,,,,,,,
BAKERS BLUE LABEL MARIE BISCUITS,423,1772,8.3,74,21.7,9.5,1.7,0.377,Biscuits,Solid
BAKERS CHOCOLATE-O-BREAK BISCUITS,,,,,,,,,,
BAKERS CLASSIC ROMANY CREAMS CHOCOLATE BISCUITS,481,2012,7.6,64,33.8,21.3,2.2,0.466,Biscuits,Solid
BAKERS EET SUM MOR SHORTBREAD BISCUITS,525.926,2200.47,3.7037,55.5556,11.1111,29.6296,,0.511111,Biscuits,Solid
BAKERS ORIGINAL ROMANY CREAMS MINT CHOCOLATE COCONUT BISCUITS,499,2089,5.5,,29.5,25.6,5,0.479,Biscuits,Solid
BAKERS ORIGINAL TOPPER VANILLA CREAM BISCUITS,,,,,,,,,Biscuits,Solid
BAKERS TENNIS DOUBLE BISCUITS CREAM,,,,,,,,,,
BAKEX BROWN BREAD FLOUR,,,,,,,,,,Powder
BAKEX SEMOLINA (SOOJI/RAAVA),,,,,,,,,,Powder
BAKEX WHITE BREAD FLOUR,,,,,,,,,,Powder
BALLON CHICLE BUBBLE GUM,,,,,,,,,Bubble Gum,Solid
BARILLA ANGEL HAIR NO 1 PASTA,364,1522.98,12.6,70.9,3.5,2,3,0.005,Pasta,Solid
BARILLA CHIFFERI ELBOWS PASTA,364,1522.98,12.6,70.9,3.5,2,3,0.005,Pasta,Solid
BARILLA CHILLI PEPPER ARRABBIATA SAUCE,70,292.8,1,7,,3,,,Sauce,Paste
BARILLA COLLEZIONE TAGLIATELLE PASTA,359,1502.06,12,71,,2,,,Pasta,Solid
BARILLA FETTUCCINE PASTA,359,1502.06,12,71,,2,,0.013,Pasta,Solid
BARILLA LASAGNE NO 189 PASTA,142,594.128,4,10,,9,,,Pasta,Solid
BARILLA LINGUINE NO 13 PASTA,364,1522.98,12.8,70.9,3.5,2,3,0.005,Pasta,Solid
BARILLA N.3 SPAGHETTINI PASTA,364,1522.98,12.8,70.9,3.5,2,3,0.005,Spaghettini Pasta,Solid
BARILLA N.5 SPAGHETTI PASTA,364,1522.98,12.8,70.9,3.5,2,3,0.005,Spaghetti Pasta,Solid
BARILLA N65 FARFALLE DURUM WHEAT PASTA,359,1502.06,12,71,3,2,,,Pasta,Solid
BARILLA RIGATE PENNE PASTA,364,1522.98,12.5,71.2,3.5,2,3,0.005,Pasta,Solid
BARILLA SPAGHETTONI NO 7 PASTA,158,661.072,4,17,1,18,31,0.005,Pasta,Solid
BARILLA SUGO OLIVE WITH ITALIAN TOMATOES SAUCE,77,322,1.9,6.2,4.8,4.5,2.1,,Sauce,Paste
BAVARIA 0.0 APPLE NON ALCOHOLIC MALT DRINK,30,126,1,7.9,7.6,1,,,Malt Drink,Liquid
BAVARIA 0.0 ORIGINAL NON ALCOHOLIC MALT DRINK,24,100.416,,5,3,,,0.002,Malt Drink,Liquid
BAYARA CHILLI POWDER,435,1820,14,51,6,19,31,0.401,Chilli Powder,Powder
BAYARA WHOLE GARAM MASALA,300,1252,10,70,,10,40,0.15,Garam Masala,Solid
BAZOOKA BIG BABY POP COLA AND RASPBERRY CANDY,121,506,0,30,29,0,0,,Candy,Solid
BAZOOKA BIG BABY POP SOUR STRAWBERRY CANDY,383,1627,0.2,95.3,87,0.02,0.02,2.00E-05,Candy,Solid
BAZOOKA BIG POP BLACKCURRANT,,,,,,,,,Candy,Solid
BAZOOKA PUSH POP BLACKCURRANT,355.556,1487.64,5.55556,77.7778,55.5556,1.77778,,,Candy,Solid
BAZOOKA PUSH POP BLUE RASPBERRY AND COLA CANDY,1220,5104.67,0,100,64.6667,0,0,0.113333,Candy,Solid
BAZOOKA XTREME JUICY DROP CANDY,,,,,,,,,,
BEACON MAYNARDS FRUITY MINI ENERJELLY TEDDIES,,,,,,,,,Enerjelly Teddies,Solid
BEAUIDEAL SHANGHAI WHITE VINEGAR,0,0,,,,,,,White Vinegar,Liquid
BEBETO SPAGHETTI SOUR APPLE,,,,,,,,,,
BEBETO STRAWBERRY LACES,380,1610,2.7,86,57,2.9,,,Laces,Solid
BEBETO STRAWBERRY METERGUM,381,1594.1,2,88,0,2,0,0,Metergum,Solid
BEECARE NATURALS CASHEW NUT BUTTER ROASTED SALTED,,,,,,,,,,
BEECARE NATURALS CASHEW NUTS ROASTED AND SALTED,,,,,,,,,,
BEECARE NATURALS CASHEW NUTS ROASTED AND SALTED CP,,,,,,,,,,
BEECARE NATURALS ROASTED AND SALTED PEELED PEANUT CP,,,,,,,,,,
BEECARE NATURALS ROASTED AND SALTED PEELED PEANUTS,,,,,,,,,,
BERGEN 3 X CHOCO COOKIES,522.222,2183.33,5.55556,55.5556,33.3333,27.7778,0,0.5,Cookies,Solid
BERGEN BROWNIE CHOCOLATE FUDGE COOKIES,450,1882.8,4.54545,63.6364,36.3636,18.1818,,,Cookies,Solid
BERGEN CHOCO CHIP HAZELNUT COOK,504,2109,6,60,28,26.5,0,0,Cookies,Solid
BERGEN OAT WITH SESAME COOKIES,512,2142.21,5,62,37,26,3,0.24,Cookies,Solid
BERGEN OBS CARAMEL&COCONUT COOK,469,1962,6,66,42,20,0,0.18,Biscuit,Solid
BERGEN S/FREE HAZELNUT COOKIES,498,2084,8.2,62.2,3,23.5,0,0,Cookies,Solid
BERGEN WHITE CHOCOLATE & CRANBERRY COOKIES,480,2008.32,4,64,44,24,2,0.24,Cookies,Solid
BERTOLLI FIVE CHEESE SAUCE,,,,,,,,,,
BERTOLLI FRESH GARLIC & HERBS,,,,,,,,,,
BERTOLLI GARLIC MARINARA,,,,,,,,,,
BERTOLLI OLIVE OIL & GARLIC SAUCE,,,,,,,,,,
BERTOLLI OLIVE OIL BASIL GARLIC,,,,,,,,,,
BERTOLLI ORGANIC TOMATOBASIL,,,,,,,,,,
BERTOLLI RUSTIC CUT MARINARA,,,,,,,,,,
BERTOLLI RUSTIC CUT ROASTED GARLIC,,,,,,,,,,
BERTOLLI RUSTIC CUT SWEET PEPPER WITH MUSHROOM,,,,,,,,,,
BERTOLLI TOMATO & BASIL SAUCE,,,,,,,,,,
BEST SALTED PEANUTS,,,,,,,,,,
BETTY CROCKER BUTTER MILK PANCAKE MIX,375,1567,72,10,8.8,5.5,1.3,1.058,Pancake Mix,Powder
BETTY CROCKER CHOCOLATE FUDGE BROWNIE MIX,409,1711.26,4.4,83.3,,5.7,3.4,,Fudge Brownie Mix,Powder
BETTY CROCKER DARK CHOCOLATE FUDGE BROWNIE MIX,110,460.24,1,24,17,1.5,1,0.09,Brownie Mix,Powder
BETTY CROCKER SUPER MOIST CHOCOLATE FUDGE CAKE MIX,160,669.44,2,35,17,1,1,0.38,Cake Mix,Powder
BETTY CROCKER SUPER MOIST DARK CHOCOLATE CAKE,396,1656.86,4.1,79,52,6.6,2.5,0.772,Cake,Solid
BETTY CROCKER SUPER MOIST MILK CHOCOLATE CAKE,,,,,,,,,,
BETTY CROCKER SUPER MOIST SUPREME VANILLA CAKE,396,1656.86,4.1,79,52,6.6,2.5,0.772,Cake,Solid
BETTY CROCKER SUPER MOIST WHITE CAKE MIX,398,1665.23,3.3,77,47,8.1,1.2,0.647,Cake Mix,Powder
BETTY CROCKER WHIPPING CREAM MIX,505.714,2115.91,4.85714,71.4286,68.5714,22.5714,1.42857,0.0742857,Whipping Cream Mix,Cream
BHARTI BEN KENYAN CHEVDO FARARI,605.96,2535.32,2.285,48.67,5.4,49.17,1.058,0.0618,Chevdo,Solid
BIDCO CHIPSY PURE YELLOW VEGETABLE COOKING FAT,124,518.816,,,,14,,,Cooking Fat,Liquid
BIDCO KIMBO COOKING VEGETABLE FAT,,,,,,,,,,
BIG G ORIGINAL BUBBLE GUM 50 PIECES,,,,,,,,,Bubble Gum,Solid
BIGG DADDY PARTY MIX LOLLIPOPS 50PC,,,,,,,,,Lollipop,Solid
BIGG DADDY PASSION LOLLIPOPS50PCS,,,,,,,,,Lollipop,Solid
BIP 3D DINO AND FRIEND STRAWBERRY LOLLIPOP,395,1680,0,98.8,68.5,0,0,,Lollipop,Solid
BIP DINO FRIENDS LOLLY POP UP SWEET CANDY,83,,343,1,,,,,Food,
BISCOLATA AMADA MILK CHOCOLATE BISCUIT STIX,483.1,1999.9,7.5,62.1,,22.2,2.1,,Stix,Solid
BISCOLATA AMADA STIX HAZELNUT BISCUIT STICKS,538.2,2228.4,8.6,52.5,30.6,32,2.5,,Biscuit Sticks,Solid
BISCOLATA COCONUT STIX BISCUITS,527.778,2208.22,8.33333,55.5556,30.5556,30.5556,5.55556,0.222222,Biscuits,Solid
BISCOLATA DUOMAX MILKY CHOCOLATE COATED WAFER,557,2330,7.6,54.2,42.2,34.1,1.5,0.04,Wafer,Solid
BISCOLATA MINIS DARK CHOCOLATE COVERED WAFERS,,,,,,,,,Wafer,Solid
BISCOLATA MOOD CHOCOLATE CREAM FILLED COOKIES,527.7,2207,5.7,59.3,36.5,29.2,2.5,,Cookies,Solid
BISCOLATA MOOD NIGHT BITTER DARK CHOCOLATE COOKIES,496,2072,25,58.6,32.2,25,5.3,,Cookies,Solid
BISCOLATA NIRVANA MINIS HAZELNUT CREAM MILKY WAFER,493,2062,7.4,60.5,30.4,23.5,3.3,,Milky Wafer,Solid
BISCOLATA STIX CRISPY RICE,,,,,,,,,,
BISCONNI CHOCOLATE CHIP COOKIES,84,351.456,1,9,2,4,2,0.038,Cookies,Solid
BISCONNI CHOCOLATTO CENTER FILLED CHOCOLATE COOKIES,114,476.976,1,16,7,5.7,,0.02,Cookies,Solid
BISCONNI COCOMO CHOCOLATE FILLED BISCUITS,110,460,5,15,16,19,2,0.28,Biscuits,Solid
BISTO CHICKEN GRAVY GRANULES,,,,,,,,,,
BLEND AFRICA ESPRESSO DARK ROAST COFFEE BEANS,63,263.59,7,9,,,,,Coffee Beans,Solid
BLEND AFRICA ESPRESSO DARK ROAST GROUND COFFEE,1.01266,4.21941,0.126582,,,0.0421941,,0.00198312,Ground Coffee,Powder
BLUE RIBAND,,,,,,,,,,
