product_name,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,fibre_g,sodium_g,sub_type,form,class_name,subclass_name,nova,classification_method,class_confidence,subclass_confidence,nova_confidence,needs_review,classification_timestamp
224 AROMATIC RICE,,,,,,,,,,,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
224 PILAU RICE,171,715.464,3,30,1,3,2,0,Rice,Solid,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
224 PISHORI RICE,349,1460.22,8,77,0,0,0,0,Rice,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,simulated_lookup_fuzzy,0.788,0.758,0.778,TRUE,2026-04-07T09:21:17.880566+00:00
224 SUPERIOR QUALITY LONG GRAIN RICE,366.667,1533.33,8.88889,80,,,,,Rice,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
7UP DRINK,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
7UP SODA,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ACACIA KIDS APPLE,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ACACIA KIDS BLACKCURRANT,53.1,225,0.02,12.9,12.8,0.01,0.08,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ACACIA KIDS BLUERASBERRY,53.5,227,0.04,13.1,12.9,0.01,0.07,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ACACIA KIDS MANGO,42.1,179.12,0.168,12.5,12.5,0.01,0.54,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AERO ORANGE FESTIVE BLOCK,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AERO PEPPERMINT BUBBLY,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
