Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
"""Brown"" Maize and Finger Millet Flour Ugali",MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,false,
"""Busara"" (Whole Maize and Finger Millet Porridge)",BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Processed foods,false,
"""Omena"" (Silver Sardine Stew)",PROCESSED FISH,DAGAA/OMENA,Unprocessed/Minimally processed foods,false,
Aluru (Stewed Quails),POULTRY,QUAIL,Processed foods,false,stewed quails
Amaranth leaves picked boiled drained (without salt),VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods,false,
Amaranth leaves picked raw,VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods,false,
Amaranth leaves picked stewed (without salt),VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods,false,
Amaranth whole grain dry raw,CEREAL GRAINS,AMARANTH GRAIN,Unprocessed/Minimally processed foods,false,
Amaranth whole grain dry stewed (without salt),CEREAL GRAINS,AMARANTH GRAIN,Unprocessed/Minimally processed foods,false,
Amaranth whole grain flour,WHEAT FLOUR,AMARANTH FLOUR,Unprocessed/Minimally processed foods,false,
Animal fat lard,COOKING FAT,LARD/ANIMAL FAT,Processed Culinary Ingredients,false,
Anise seed,HERBS AND SPICES,SPICES - ANISE,Unprocessed/Minimally processed foods,false,
Apple green skin unpeeled raw,FRUITS,APPLES,Unprocessed/Minimally processed foods,false,
Apple red unpeeled raw,FRUITS,APPLES,Unprocessed/Minimally processed foods,false,
Arrowroot flour,WHEAT FLOUR,ARROWROOT FLOUR,Unprocessed/Minimally processed foods,false,
Arrowroot peeled boiled drained (without salt),ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods,false,
Arrowroot peeled raw,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods,false,
Arrowroot Stew,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods,false,
Ashir,,,,true,Ashir: unfamiliar food name (possible Somali sweet rice or local term); needs verification
Avocado ripe raw,FRUITS,AVOCADO,Unprocessed/Minimally processed foods,false,
Baking powder dry powder,BAKING ADDITIVES,BAKING POWDER,Processed Culinary Ingredients,false,
Baking soda (bicarbonate) dry powder,BAKING ADDITIVES,BAKING SODA,Processed Culinary Ingredients,false,
Bambara groundnuts dried raw,"PULSES - PEAS, LENTILS, BEANS",BAMBARA GROUNDNUTS,Unprocessed/Minimally processed foods,false,
Banana BITA 3 dried flour,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - BANANA,Processed foods,false,
Banana cavendish raw,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods,false,
Banana plantain green raw,FRUITS,GREEN BANANAS,Unprocessed/Minimally processed foods,false,
Baobab fruit powderly part dry raw,DRIED FRUITS,BAOBAB FRUIT,Unprocessed/Minimally processed foods,false,
Basic Mandazi,PASTRIES,PASTRIES - MANDAZI,Processed foods,false,
Bean red fresh raw,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods,false,red fresh beans
Bean Stew,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods,false,
Bean Stew with Milk and Cream,"PULSES - PEAS, LENTILS, BEANS",BEAN STEW,Processed foods,false,
