Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Amaranth, whole grain, dry, raw",1520,360,10,14.7,5.6,59.2,7.5,3.1,162,9.5,270,397,413,3,2.5,21,0,0,0,0,0.07,0.21,0.5,82,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amaranth, whole grain, dry, stewed (without salt)",510,121,69.8,4.9,1.9,19.9,2.5,1.1,56,3.2,91,133,139,3,0.85,7,0,0,0,0,0.02,0.07,0.2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amaranth, whole grain, flour",1540,365,10.2,13.8,6.3,59.6,7.1,3,161,8.9,259,405,461,3,2.7,20,0,0,0,1,0.08,0.15,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biscuit, Savoury",2060,492,4.5,6.6,24.9,58.9,3.3,1.9,38,1.4,27,177,161,637,0.83,15,8,10,7,15,0.16,0.06,1.3,21,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biscuit, Sweet",1930,460,4.3,6.1,17.2,69.3,2.1,1.1,45,1.4,19,98,158,298,0.6,10,40,42,38.5,20,0.09,0.03,0.7,23,23,0.1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bread, Brown",1040,245,36,8,1.5,46.9,5.9,1.7,56,2.6,58,134,191,446,1.3,13,0,0,0,0,0.22,0.01,3.4,37,37,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bread, Sweet",1540,368,23.5,8.3,14.4,50.6,1.5,1.8,80,1.9,18,147,227,369,0.8,20,74,77,70,43,0.2,0.16,2.3,33,33,0.23,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bread, White",1050,249,36.9,7.7,1.9,48.8,3.1,1.7,37,1.7,27,95,120,466,0.8,10,0,0,0,0,0.16,0.06,3.8,28,28,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",1580,372,3.5,7.5,0.7,82.6,2.95,2.8,3.2,10.2,13,45,110,1090,0.2,5.5,11,21,0,128,1,1.5,17.7,422,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breakfast cereal, flakes of corn",1580,373,3.5,7.5,0.7,83,2.6,2.8,3,0.4,13,45,110,1090,0.2,9,10,21,0,125,0,0.08,0.8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
