id,county,gender,description,price,quantity,total,trnref,sdatetime,paymentmode,branch,transaction_id,dob_new,supermarket_name,branch_name,county_name,sub_county_name,month_date,total_new,quantity_new,price_new,customer_type,month_name,year,quarter_date,age,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,quantity_uom,price_uom,class_name_uom,weight
,NAK,,CADBURY DREAM BAR 80G,130,1.0,130,1,2020-11-07,MPESA,001_003,001_003-1,,A,A1,Nakuru,Gilgil,2020-11-01,130.0,1,130.0,No-Loyalty card,November,2020,2020.4,,,Food Item,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods,KGS,80G,0.08,0.08,1625.0,CHOCOLATE (KGS),1
,NAK,,PIKA VEGE OIL 5L,764,1.0,1054,2,2020-11-07,Cheque,001_003,001_003-2,,A,A1,Nakuru,Gilgil,2020-11-01,764.0,1,764.0,No-Loyalty card,November,2020,2020.4,,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,5L,5.0,5.0,152.8,COOKING OIL (LTRS),3
,NAK,,DELICIOUS DELIGHT MUFINS CHOC/CUP 300G 6PKT,95,1.0,1054,2,2020-11-07,Cheque,001_003,001_003-2,,A,A1,Nakuru,Gilgil,2020-11-01,95.0,1,95.0,No-Loyalty card,November,2020,2020.4,,,Food Item,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods,KGS,300G,0.3,0.3,316.6666666666667,CUPCAKES/MUFFINS/QUEENCAKES (KGS),1
,NAK,,SWEET HEART CAKE 400G M/B,150,1.0,160,3,2020-11-07,Cheque,001_003,001_003-3,,A,A1,Nakuru,Gilgil,2020-11-01,150.0,1,150.0,No-Loyalty card,November,2020,2020.4,,,Food Item,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods,KGS,400G,0.4,0.4,375.0,MARBLE CAKES (KGS),1
,NAK,,ENGARE SPRING WATER 5LTR,139,1.0,139,4,2020-11-07,MPESA,001_003,001_003-4,,A,A1,Nakuru,Gilgil,2020-11-01,139.0,1,139.0,No-Loyalty card,November,2020,2020.4,,,Food Item,WATER,SPRING WATER,Unprocessed/Minimally processed foods,LTRS,5LTR,5.0,5.0,27.8,WATER (LTRS),5
,NAK,,BRANDED SUGAR 1KG BROWN,110,1.0,185,5,2020-11-07,Cheque,001_003,001_003-5,,A,A1,Nakuru,Gilgil,2020-11-01,110.0,1,110.0,No-Loyalty card,November,2020,2020.4,,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,1.0,110.0,SUGAR (KGS),3
,NAK,,AFIA JUICE MIXED FRUIT 500ML,65,1.0,185,5,2020-11-07,Cheque,001_003,001_003-5,,A,A1,Nakuru,Gilgil,2020-11-01,65.0,1,65.0,No-Loyalty card,November,2020,2020.4,,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,500ML,0.5,0.5,130.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS),1
,NAK,,SALIT VEGETABLE OIL 500ML,91,1.0,91,7,2020-11-07,Cheque,001_003,001_003-7,,A,A1,Nakuru,Gilgil,2020-11-01,91.0,1,91.0,No-Loyalty card,November,2020,2020.4,,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,500ML,0.5,0.5,182.0,COOKING OIL (LTRS),3
,NAK,,KINANGOP ESL LONG LIFE MILK 500ML,45,4.0,330,9,2020-11-07,Cheque,001_003,001_003-9,,A,A1,Nakuru,Gilgil,2020-11-01,180.0,4,45.0,No-Loyalty card,November,2020,2020.4,,,Food Item,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods,LTRS,500ML,0.5,2.0,90.0,WHOLE MILK (LTRS),5
,NAK,,ILARA YOGHURT FOREST BERRY 150ML CUP,45,1.0,330,9,2020-11-07,Cheque,001_003,001_003-9,,A,A1,Nakuru,Gilgil,2020-11-01,45.0,1,45.0,No-Loyalty card,November,2020,2020.4,,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,150ML,0.15,0.15,300.0,FLAVOURED/FRUIT YOGHURT (LTRS),1
,NAK,,BUTALI BROWN SUGAR 1KG PKT,105,1.0,330,9,2020-11-07,Cheque,001_003,001_003-9,,A,A1,Nakuru,Gilgil,2020-11-01,105.0,1,105.0,No-Loyalty card,November,2020,2020.4,,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,1.0,105.0,SUGAR (KGS),3
,NAK,,EXE CHAPATI FLOUR 2KG,123,1.0,170,11,2020-11-07,Cheque,001_003,001_003-11,,A,A1,Nakuru,Gilgil,2020-11-01,123.0,1,123.0,No-Loyalty card,November,2020,2020.4,,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,2.0,61.5,WHEAT FLOUR (KGS),5
,NAK,,JOY SUPER BITES MANDAZI 180G,37,1.0,170,11,2020-11-07,Cheque,001_003,001_003-11,,A,A1,Nakuru,Gilgil,2020-11-01,37.0,1,37.0,No-Loyalty card,November,2020,2020.4,,,Food Item,PASTRIES,PASTRIES - MANDAZI,Ultra-processed foods,KGS,180G,0.18,0.18,205.5555555555556,PASTRIES (KGS),1
,NAK,,AFIA JUICE MULT-VITAMIN 500ML,65,1.0,65,12,2020-11-07,Cheque,001_003,001_003-12,,A,A1,Nakuru,Gilgil,2020-11-01,65.0,1,65.0,No-Loyalty card,November,2020,2020.4,,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,500ML,0.5,0.5,130.0,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS),1
,NAK,,UFUTA COOKING OIL 10L,1354,1.0,1354,13,2020-11-07,MPESA,001_003,001_003-13,,A,A1,Nakuru,Gilgil,2020-11-01,1354.0,1,1354.0,No-Loyalty card,November,2020,2020.4,,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,10L,10.0,10.0,135.4,COOKING OIL (LTRS),3
,NAK,,KENSALT TABLE SALT 500G,17,1.0,105,14,2020-11-07,Cheque,001_003,001_003-14,,A,A1,Nakuru,Gilgil,2020-11-01,17.0,1,17.0,No-Loyalty card,November,2020,2020.4,,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,0.5,34.0,SALT (KGS),3
,NAK,,KABRAS SUGAR 500G WHITE,65,1.0,105,14,2020-11-07,Cheque,001_003,001_003-14,,A,A1,Nakuru,Gilgil,2020-11-01,65.0,1,65.0,No-Loyalty card,November,2020,2020.4,,,Food Item,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,KGS,500G,0.5,0.5,130.0,SUGAR (KGS),3
,NAK,,SODA FANTA B/CURRANT 500ML PL,60,1.0,60,16,2020-11-07,Cash,001_003,001_003-16,,A,A1,Nakuru,Gilgil,2020-11-01,60.0,1,60.0,No-Loyalty card,November,2020,2020.4,,,Food Item,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods,LTRS,500ML,0.5,0.5,120.0,SODAS AND CARBONATED DRINKS (LTRS),1
,NAK,,KINANGOP STRAWBERRY YOGHURT CUP 500ML,83,2.0,264,17,2020-11-07,MPESA,001_003,001_003-17,,A,A1,Nakuru,Gilgil,2020-11-01,166.0,2,83.0,No-Loyalty card,November,2020,2020.4,,,Food Item,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods,LTRS,500ML,0.5,1.0,166.0,FLAVOURED/FRUIT YOGHURT (LTRS),1
