Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Acacia Kids Apple Pouch,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,false,Acacia Kids apple juice pouch
Acacia Kids Mango Pouch,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,false,Acacia Kids mango juice pouch
AL AMEERA TAHINA,JAM/OTHER SPREADS,TAHINI,Ultra-processed foods,false,tahini = sesame paste; moved from HERBS AND SPICES
Amana Njahi Black Beans,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,false,
Amana Nyayo Beans,"PULSES - PEAS, LENTILS, BEANS",NYAYO BEANS,Unprocessed/Minimally processed foods,false,new subclass: NYAYO BEANS
Amana Rosecoco Beans,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,false,new subclass: ROSECOCO BEANS
Amana Yellow Beans,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,false,new subclass: YELLOW BEANS
AMERICAN G CREA RANCH DRESSING,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
American Garden Italian Marinade And Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
American Garden Mushroom Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
American Garden Spicy Brown Mustard,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
American Garden Worcestershire Sauce,TABLE SAUCES,BROWN/WORCESTERSHIRE SAUCE,Ultra-processed foods,false,new subclass: BROWN/WORCESTERSHIRE SAUCE
American Garden yellow mustard Squeeze,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
American Gourmet Barbeque Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,
American Gourmet Dijon Mustard,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
AMERICAN GOURMET ITALIAN DRESS,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
AMERICAN GOURMET PANCAKE SYRUP,TABLE SAUCES,SYRUP,Ultra-processed foods,false,new subclass: SYRUP
AMERICAN GOURMET THOUSAN ISLAND,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Arpo Fish Sauce,COOKING SAUCES,FISH SAUCE,Ultra-processed foods,false,moved from TABLE SAUCES
ASANTA YELLOW BEANS,"PULSES - PEAS, LENTILS, BEANS",YELLOW BEANS,Unprocessed/Minimally processed foods,false,new subclass: YELLOW BEANS
Askeys Treat Strawberry,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,Askeys Treat = strawberry ice-cream topping syrup
Atkins Potts Dill Mustard Sauce,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
Atkins Potts Ranch Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Atkins Potts Red Onion Jalapeno Relish,TABLE SAUCES,RELISH,Ultra-processed foods,false,new subclass: RELISH
Atkins Potts Salsa Dip,TABLE SAUCES,SALSA/GUACAMOLE,Ultra-processed foods,false,new subclass: SALSA/GUACAMOLE
Atkins Potts Sea Food Sauce Lemon Dill,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,Atkins & Potts seafood condiment sauce; moved from COOKING SAUCES
Atkins Potts Tartare Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Atkins Potts Wasabi Lime Dresing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Ayam Thai Yellow Curry Sauce,COOKING SAUCES,CURRY SAUCE/PASTE,Ultra-processed foods,false,new subclass: CURRY SAUCE/PASTE
Bakalland BA Cocoa And Milk Kid Cereal Bar,BREAKFAST CEREALS,CEREAL BAR,Ultra-processed foods,false,kids cereal bar
Barilla Chilli Pepper Arrabbiata Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Beecare Naturals Cashew Nut Butter Roasted Salted,JAM/OTHER SPREADS,NUT BUTTER,Ultra-processed foods,false,cashew nut butter
Bertolli Five Cheese Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Bertolli Fresh Garlic Herbs,HERBS AND SPICES,SPICES - GARLIC,Unprocessed/Minimally processed foods,false,keyword rule -> SPICES - GARLIC
Bertolli Garlic Marinara,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
