Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova,octagons
Chupa Chups Sour Bites Mixed Fruit Sour Candy Belt,17g,0.5g,0.05g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Candy Kenya Eclairs Lollipop,48g,17g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
Candy Kenya Sweety Sweety Lollipop,25.16g,0.08g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Chupa Chups Strawberry Melody Pops Lollipop,76g,0g,0.008g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
CHUPA CHUPS SOUR TUBES,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Florestal Pop Kiss Black Cola Lollipop,40g,9g,0.0077g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
Florestal Pop Tattoo Panico Tutti Frutti Lollipop,32g,7g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Mr Berry s Bigg Daddy Passion Lollipop,0g,0g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Chupa Chups Big Babol Strawberry Soft Bubble Gum,59.6g,0g,0g,CANDY AND CONFECTIONERY,CHEWING GUMS,Ultra-processed foods,1
Clown Candy Kenya Milky Milk Lollipop,62g,7g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
CKL Kenya Candy Sweety Sweety Lollipop,25.16g,0.08g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Clown Kenya Mr Painter Lollipops,63g,33g,0.135g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
Chupa Chups Sour Bites Mixed Fruit Jelly Candy,17g,0.5g,0.05g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
BIGG DADDY PASSION LOLLIPOPS,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
BIGG DADDY PARTY MIX LOLLIPOPS,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Clown Big Pop Fruit Flavoured Lollipop XXL,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Clown Candy Kenya Milkees Milk Lollipop,73g,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Candy Kenya Full Filling Butter Pops XXL Candy,22g,29g,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
Clown Candy Kenya Big Boll XXL Fruit Lollipops,83g,7g,0.07g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
CKL Mint Twist White Candy,12g,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
CANDY KENYA MONSTER POPS XXL,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Clown Kenya Mr Painter Lollipops XXL x,63g,33g,0.135g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,2
CKL Kenya Sweety Lollipops XXL x,25.16g,0.08g,0g,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,1
Mr Berry s King Kuba XXL Bigger Gum Center Tongue Painter Lollipop,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
Chupa Chups Sour Lollipos,,,,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods,0
NUVITA CHOCOLATE CREAM PUFFS,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Secrets Original Cream,61g,22g,0g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Nuvita Lemon Cream Puffs,,,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,0
NuVita Secrets Coconut Cream,59g,20g,,BAKING ADDITIVES,COCONUT CREAM,Processed foods,2
Hide Seek Chocolate Jar Biscuit,32.2g,18g,,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,2
Oreo Original Biscuits,14g,7g,0.135g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,1
