Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova
Amaranth whole grain dry raw,,5.6g,0.003g,CEREAL GRAINS,AMARANTH GRAIN,Unprocessed/Minimally processed foods
Amaranth whole grain dry stewed (without salt),,1.9g,0.003g,CEREAL GRAINS,AMARANTH GRAIN,Unprocessed/Minimally processed foods
Amaranth whole grain flour,,6.3g,0.003g,WHEAT FLOUR,AMARANTH FLOUR,Unprocessed/Minimally processed foods
Biscuit Savoury,,24.9g,0.637g,"COOKIES, BISCUITS AND WAFERS",SAVOURY BISCUITS,Ultra-processed foods
Biscuit Sweet,,17.2g,0.298g,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
Bread Brown,,1.5g,0.446g,BREADS,BROWN BREAD,Processed foods
Bread Sweet,,14.4g,0.369g,BREADS,WHITE BREAD,Processed foods
Bread White,,1.9g,0.466g,BREADS,WHITE BREAD,Processed foods
Breakfast cereal flakes of corn fortified (iron thiamine riboflavin niacin and folate),,0.7g,1.09g,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods
Breakfast cereal flakes of corn,,0.7g,1.09g,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods
Breakfast cereal wheat biscuits Weetabix type,,1.9g,0.36g,BREAKFAST CEREALS,WHEAT BISCUIT CEREALS,Ultra-processed foods
Buns Currant,,6.8g,0.1g,BUNS/ROLLS,SWEET BUNS,Ultra-processed foods
Cake or cupcake plain butter cake commercial,,15.3g,0.48g,CAKES,CAKES,Ultra-processed foods
Cake Fruit,,12.3g,0.17g,CAKES,CAKES,Ultra-processed foods
Cake Sponge homemade,,26.7g,0.35g,CAKES,CAKES,Ultra-processed foods
Cake Sponge without fat,,6.3g,0.08g,CAKES,CAKES,Ultra-processed foods
Cakes (Various Fancy Iced),,16.8g,0.25g,CAKES,CAKES,Processed foods
Cornflour from maize starch,,0.4g,0.01g,MAIZE/CORN FLOUR,CORN FLOUR,Unprocessed/Minimally processed foods
Maize grain white variety whole dry raw,,4.5g,0.012g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize grain white variety whole dry boiled drained (without salt),,1.5g,0.005g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize grain white variety whole dry stewed (without salt),,1.5g,0.006g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize grain yellow variety whole dry raw,,3.7g,0.007g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize grain yellow variety whole dry boiled drained (without salt),,1.2g,0.004g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize grain yellow variety whole dry stewed drained (without salt),,0.9g,0.004g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Maize meal sifted fortified packaged raw,,3g,0.012g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Maize White Degermed (Muthokoi),,1.7g,0.007g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Maize whole flour raw,,4.5g,0.012g,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
Green Maize white whole grain fresh raw,,2.5g,0.008g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Green maize white whole grain fresh boiled drained (without salt),,2.3g,0.006g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Green Maize white whole grain fresh stewed (without salt),,3.2g,0.01g,CEREAL GRAINS,MAIZE GRAIN,Unprocessed/Minimally processed foods
Millet bulrush flour,,5.3g,0.004g,PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Unprocessed/Minimally processed foods
Millet bulrush grain dry raw,,5.3g,0.004g,CEREAL GRAINS,MILLET GRAIN,Unprocessed/Minimally processed foods
Millet bulrush whole grain dry boiled drained (without salt),,2.2g,0.003g,CEREAL GRAINS,MILLET GRAIN,Unprocessed/Minimally processed foods
Millet bulrush whole grain dry stewed drained (without salt),,2.2g,0.003g,CEREAL GRAINS,MILLET GRAIN,Unprocessed/Minimally processed foods
