product_name,total_sugar_g,total_fat_g,sodium_g,class_name,subclass_name,nova,octagons
Fanta Orange Soda,12,0,0.02,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,0
Minute Maid Apple Juice No Added Sugar,3.8,0.1,0.04,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,1
Del Monte Fruit Cocktail Juice,4.2,0.1,0.05,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,1
Ceres 100% Apple Juice,4,0,0.03,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,0
Lipton Ice Tea Lemon Light,3.9,0,0.05,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,BOTTLED TEAS,Ultra-processed foods,2
Five Alive Citrus Light,3.6,0,0.04,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,BOTTLED TEAS,Ultra-processed foods,3
Brookside Whole Milk,4.8,3.5,0.06,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,1
Weetabix Wholegrain Cereal,2.5,1.8,0.12,BREAKFAST CEREALS,BREAKFAST CEREALS,Processed foods,0
Kellogg's Corn Flakes Plain,3.1,0.4,0.24,BREAKFAST CEREALS,BREAKFAST CEREALS,Processed foods,0
Nature Valley Oats and Honey Bar,15.2,8.7,0.19,SNACKS,CEREAL BARS,Ultra-processed foods,1
